"lon","lat","species"
-76.103907,-5.906546,1
-70.364281,-3.7824,1
-70.36813,-3.784664,1
-60.189845,-3.291472,1
-73.820085,-12.534986,1
-73.201364,-4.334783,1
-80.29839,26.351,1
-80.16077,26.32747,1
-80.09358,26.81689,1
-80.29811,26.35313,1
-80.08706,26.47364,1
-83.45471,10.318117,1
121.23744,23.15649,1
121.23744,23.15649,1
121.23744,23.15649,1
121.23744,23.15649,1
121.23744,23.15649,1
121.26988,23.21797,1
121.40401,23.48611,1
121.40401,23.48611,1
-67.539764,-8.788962,1
121.46279,25.03597,1
121.55799,24.97945,1
121.55799,24.97945,1
121.55791,24.97938,1
121.55791,24.97938,1
121.55791,24.97938,1
121.55781,24.97927,1
121.55781,24.97927,1
121.55781,24.97927,1
121.75287,24.70474,1
121.80334,24.74005,1
120.27669,23.05858,1
120.3548,22.97544,1
120.32596,23.07426,1
120.32596,23.07426,1
120.32636,23.07469,1
120.32636,23.07469,1
120.32636,23.07469,1
121.00262,24.85206,1
121.00262,24.85206,1
120.66506,24.08074,1
-76.619372,-0.406664,1
-82.268611,28.048531,1
120.253083,23.328806,1
120.430778,23.430417,1
120.430778,23.430417,1
120.4295,23.430639,1
-73.219091,-4.307293,1
-73.282649,-4.298344,1
-70.411383,-3.80248,1
120.87465,24.64917,1
120.87465,24.64917,1
120.6382,24.00962,1
120.63807,24.01014,1
120.63807,24.01014,1
120.63807,24.01014,1
120.71084,23.8943,1
120.71084,23.8943,1
-73.574661,-4.505722,1
121.00433,24.85229,1
120.66649,24.08129,1
120.25319,23.32881,1
120.40658,23.41131,1
120.43625,23.41275,1
120.43664,23.41258,1
120.48173,23.50444,1
-83.359219,10.281789,1
-73.803421,-4.657797,1
-82.22,27.069,1
-81.96,26.629,1
-82.821,26.547,1
-82.821,26.547,1
121.23773,23.156826,1
121.23773,23.156826,1
121.23773,23.156826,1
121.23773,23.156826,1
121.23773,23.156826,1
121.23773,23.156826,1
121.23773,23.156826,1
121.23773,23.156826,1
121.23773,23.156826,1
121.23773,23.156826,1
121.27802,23.291377,1
121.329793,23.322756,1
121.329793,23.322756,1
121.329793,23.322756,1
121.329793,23.322756,1
121.329793,23.322756,1
121.329793,23.322756,1
121.329793,23.322756,1
121.329793,23.322756,1
121.329793,23.322756,1
121.329793,23.322756,1
121.329793,23.322756,1
121.329793,23.322756,1
121.329793,23.322756,1
121.329793,23.322756,1
121.329793,23.322756,1
121.329793,23.322756,1
-71.738301,19.629051,1
120.70553,24.16927,1
120.70553,24.16927,1
120.63522,24.19867,1
120.6197,24.1385,1
120.6197,24.1385,1
120.70553,24.16927,1
120.70553,24.16927,1
120.63522,24.19867,1
120.6197,24.1385,1
120.6197,24.1385,1
99.66615,13.90699,1
99.65862,13.90704,1
120.53983,22.56444,1
120.58297,22.60303,1
120.30998,22.90076,1
120.31004,22.90078,1
120.31004,22.90078,1
120.31004,22.90078,1
120.3101,22.9008,1
120.3101,22.9008,1
120.3101,22.9008,1
120.28305,23.01959,1
120.28305,23.01959,1
120.28305,23.01959,1
120.28305,23.01959,1
120.28305,23.01959,1
120.28305,23.01959,1
120.28305,23.01959,1
120.28305,23.01959,1
120.28361,23.01926,1
120.28361,23.01926,1
120.28361,23.01926,1
120.28346,23.01932,1
120.28378,23.01918,1
120.28378,23.01918,1
120.28378,23.01918,1
120.28378,23.01918,1
120.28378,23.01918,1
120.28378,23.01918,1
120.28378,23.01918,1
120.28378,23.01918,1
120.28378,23.01918,1
120.28378,23.01918,1
120.28378,23.01918,1
120.28378,23.01918,1
120.28378,23.01918,1
120.28378,23.01918,1
120.28378,23.01918,1
120.28378,23.01918,1
120.28378,23.01918,1
120.28378,23.01918,1
120.27669,23.05858,1
120.27669,23.05858,1
120.27669,23.05858,1
120.27669,23.05858,1
120.27669,23.05858,1
120.27701,23.05826,1
120.27701,23.05826,1
120.27701,23.05826,1
120.27701,23.05826,1
120.27701,23.05826,1
120.27701,23.05826,1
120.277,23.05827,1
120.32596,23.07426,1
120.32596,23.07426,1
120.32596,23.07426,1
120.32596,23.07426,1
120.32596,23.07426,1
120.32596,23.07426,1
120.32596,23.07426,1
120.32596,23.07426,1
120.32596,23.07426,1
120.32636,23.07469,1
120.32636,23.07469,1
120.32636,23.07469,1
120.32636,23.07469,1
120.32636,23.07469,1
120.32636,23.07469,1
120.32636,23.07469,1
120.32636,23.07469,1
120.32636,23.07469,1
120.32636,23.07469,1
120.32636,23.07469,1
-74.355473,-4.748181,1
121.23773,23.156826,1
74.76,18.3,1
120.28356,23.01927,1
120.28305,23.01959,1
120.28305,23.01959,1
120.28305,23.01959,1
120.28305,23.01959,1
120.28305,23.01959,1
-70.366402,-3.782001,1
121.46116,25.03734,1
121.46116,25.03734,1
121.33277,24.58444,1
121.33277,24.58443,1
121.33277,24.58441,1
121.80367,24.73989,1
120.28305,23.01959,1
120.28305,23.01959,1
120.28305,23.01959,1
120.28378,23.01918,1
120.28378,23.01918,1
120.28378,23.01918,1
120.28351,23.0193,1
120.28351,23.0193,1
120.35561,22.97585,1
120.27669,23.05858,1
120.27669,23.05858,1
120.27669,23.05858,1
120.27669,23.05858,1
120.27669,23.05858,1
120.27669,23.05858,1
120.27669,23.05858,1
120.27669,23.05858,1
120.27669,23.05858,1
120.27669,23.05858,1
120.27669,23.05858,1
120.27701,23.05826,1
120.27701,23.05826,1
120.27701,23.05826,1
120.27701,23.05826,1
120.27701,23.05826,1
120.27701,23.05826,1
120.27701,23.05826,1
120.27701,23.05826,1
120.27701,23.05826,1
120.32596,23.07426,1
120.32596,23.07426,1
120.32596,23.07426,1
120.32596,23.07426,1
120.32596,23.07426,1
120.32596,23.07426,1
120.32636,23.07469,1
120.32636,23.07469,1
120.32636,23.07469,1
120.32636,23.07469,1
120.32636,23.07469,1
120.32636,23.07469,1
120.32636,23.07469,1
120.32636,23.07469,1
120.32636,23.07469,1
120.32636,23.07469,1
120.32636,23.07469,1
120.32636,23.07469,1
120.32636,23.07469,1
120.32636,23.07469,1
120.32636,23.07469,1
120.32636,23.07469,1
120.32636,23.07469,1
120.32636,23.07469,1
120.3265,23.07487,1
120.18427,22.91896,1
120.31007,22.90079,1
120.31007,22.90079,1
120.31007,22.90079,1
120.31007,22.90079,1
120.31007,22.90079,1
120.31007,22.90079,1
120.36218,22.8756,1
120.36461,22.8643,1
120.36596,22.90287,1
120.36596,22.90287,1
120.36596,22.90287,1
120.39622,22.88811,1
120.39622,22.88811,1
120.39622,22.88811,1
120.39622,22.88811,1
120.46048,22.9169,1
120.486,22.87314,1
120.53989,22.56453,1
120.53989,22.56453,1
120.53989,22.56453,1
120.53989,22.56453,1
120.53989,22.56453,1
120.59675,22.62642,1
-73.241378,-3.694963,1
-71.942329,-3.336904,1
-71.933816,-3.343301,1
-71.94271,-3.337082,1
-73.23167,-3.7125,1
-71.986003,-3.360627,1
-75.0943,8.02349,1
-75.1068,8.01609,1
-74.5426,8.34194,1
-74.9792,8.00576,1
-74.5461,8.31115,1
120.61022,22.63472,1
120.61,22.63419,1
120.61,22.63419,1
-73.303504,-4.32369,1
121.23773,23.156826,1
121.23773,23.156826,1
121.23773,23.156826,1
121.23773,23.156826,1
121.23773,23.156826,1
121.329793,23.322756,1
121.329793,23.322756,1
121.270227,23.217991,1
121.270227,23.217991,1
121.270227,23.217991,1
121.270227,23.217991,1
121.270227,23.217991,1
121.270227,23.217991,1
-73.369162,-4.301967,1
120.31007,22.90079,1
120.31007,22.90079,1
120.31007,22.90079,1
120.31007,22.90079,1
120.31007,22.90079,1
120.31007,22.90079,1
120.36123,22.84879,1
120.36123,22.84879,1
120.36123,22.84879,1
120.36461,22.8643,1
120.36216,22.87566,1
120.39615,22.88815,1
120.28305,23.01959,1
120.28305,23.01959,1
120.28378,23.01918,1
120.28378,23.01918,1
120.3548,22.97544,1
120.27701,23.05825,1
120.27669,23.05858,1
120.27669,23.05858,1
120.27669,23.05858,1
120.27669,23.05858,1
120.27669,23.05858,1
120.27669,23.05858,1
120.27669,23.05858,1
120.27669,23.05858,1
120.27669,23.05858,1
120.27669,23.05858,1
120.27669,23.05858,1
120.27669,23.05858,1
120.27669,23.05858,1
120.27669,23.05858,1
120.27669,23.05858,1
120.27669,23.05858,1
120.27669,23.05858,1
120.27669,23.05858,1
120.27669,23.05858,1
120.27669,23.05858,1
120.27669,23.05858,1
120.27669,23.05858,1
120.27669,23.05858,1
120.27669,23.05858,1
120.27669,23.05858,1
120.27669,23.05858,1
120.27669,23.05858,1
120.27669,23.05858,1
120.27669,23.05858,1
120.27701,23.05826,1
120.27701,23.05826,1
120.27701,23.05826,1
120.27701,23.05826,1
120.27701,23.05826,1
120.27701,23.05826,1
120.27701,23.05826,1
120.27701,23.05826,1
120.27701,23.05826,1
120.27701,23.05826,1
120.27701,23.05826,1
120.27701,23.05826,1
120.27701,23.05826,1
120.27701,23.05826,1
120.27701,23.05826,1
120.27701,23.05826,1
120.27701,23.05826,1
120.32631,23.07466,1
120.32596,23.07426,1
120.32596,23.07426,1
120.32596,23.07426,1
120.32596,23.07426,1
120.32596,23.07426,1
120.32596,23.07426,1
120.32636,23.07469,1
120.32636,23.07469,1
120.48611,22.87328,1
120.48453,22.87311,1
120.48453,22.87311,1
120.48453,22.87311,1
120.48453,22.87311,1
120.48453,22.87311,1
120.48453,22.87311,1
120.48453,22.87311,1
120.66596,24.08023,1
120.25344,23.32894,1
120.38233,23.40358,1
99.32418,14.13944,1
99.63201,13.96991,1
120.64729,23.9721,1
120.64729,23.9721,1
120.64729,23.9721,1
120.63682,24.02271,1
120.64729,23.9721,1
120.64729,23.9721,1
120.64729,23.9721,1
120.63682,24.02271,1
120.7378,24.1784,1
120.62405,24.0978,1
120.70553,24.16927,1
120.69869,24.11051,1
120.62405,24.0978,1
120.7378,24.1784,1
120.70553,24.16927,1
120.69869,24.11051,1
99.65862,13.90704,1
99.66615,13.90699,1
121.501702,23.468036,1
-66.864056,-4.941944,1
99.66615,13.90699,1
120.63522,24.19867,1
120.63522,24.19867,1
120.63522,24.19867,1
120.63522,24.19867,1
99.8065,13.7151,1
120.420733,23.406167,1
120.272906,23.3534,1
121.499297,23.461199,1
121.343008,23.385596,1
121.343008,23.385596,1
121.343008,23.385596,1
121.343008,23.385596,1
121.343008,23.385596,1
120.419081,23.396963,1
120.408255,23.413406,1
120.272906,23.3534,1
120.6473,23.97211,1
120.6473,23.97211,1
